id,name,address,nation,hhid,industry,sic_code,type,est_of_ownership
8786bbad9a984545930fa9cfe2f1c91f,Hera Spa,"VIALE CARLO BERTI PICHAT 2/4, BOLOGNA, 40127, BOLOGNA, ITALY",IT04245520376,H-IT0074735071,"Transportation, Communications, Electric, Gas, and Sanitary Services",Water supply service (4941),Corporation,1925
b23ecf57609847dc96df9573baf5b1f2,Esso Italiana Srl,"VIALE CASSALA 57, MILANO, 20143, MILANO, ITALY",IT00902231000,H-IT0009235574,Wholesale Trade,Whol petroleum products (5172),Corporation,1891
088b0cfa24d948fc8f57b8018d9bf5c6,Poste Italiane Spa,"VIALE EUROPA 190, ROMA, 00144, ROMA, ITALY",IT01114601006,H-IT0072035536,"Transportation, Communications, Electric, Gas, and Sanitary Services",U.S. Postal Service (4311),Corporation,1861
364c23f6fa1f4cee8b12717b97bbda38,A2a Spa,"CORSO DI PORTA VITTORIA 4, MILANO, 20122, MILANO, ITALY",IT11957540153,H-IT0072707569,"Transportation, Communications, Electric, Gas, and Sanitary Services",Electric services (4911),Corporation,1996
0ce01c84d3cb4755b2d14064f056d236,Arrow Electronics Emeasa Srl,"VIALE DELL'INNOVAZIONE 3, MILANO, 20126, MILANO, ITALY",IT03712140965,H-IT0073209457,"Finance, Insurance, and Real Estate",Holding company (6719),Corporation,2002
03e3d8646c724aa0a9ba6e18e51b8327,Edison Spa,"FORO BUONAPARTE 31, MILANO, 20121, MILANO, ITALY",IT08263330014,H-IT0012735906,"Finance, Insurance, and Real Estate",Holding company (6719),Corporation,1994
d079f59fdad84931a11eec02eb8af361,Ferrovie Dello Stato Italiane Spa,"PIAZZA DELLA CROCE ROSSA 1, ROMA, 00161, ROMA, ITALY",IT06359501001,H-IT0056073372,"Finance, Insurance, and Real Estate",Holding company (6719),Corporation,1992
79f8fa43c22548fa802e3abdc7be8c37,Prysmian Spa,"VIA CHIESE 6, MILANO, 20126, MILANO, ITALY",IT04866320965,H-IT0073901547,Wholesale Trade,Metals service center (5051),Corporation,2005
551f6b5dbe3d4efebc7a3ff481833169,Leonardo Spa,"PIAZZA MONTE GRAPPA 4, ROMA, 00195, ROMA, ITALY",IT00881841001,H-IT0011199660,Manufacturing,Mfg aircraft (3721),Corporation,1897
e44e689cf1074199918e081935d27c2d,Generali Italia Spa,"VIA MAROCCHESA 14, MOGLIANO VENETO, 31021, TREVISO, ITALY",IT00885351007,H-IT0008844852,"Finance, Insurance, and Real Estate",Insurance carrier (6399),Corporation,1927
ed7212d5ff08472d9e784805f918bc92,Enel Energia Spa,"VIA SAN GIOVANNI SUL MURO 9, MILANO, 20121, MILANO, ITALY",IT06655971007,H-IT0049563734,"Transportation, Communications, Electric, Gas, and Sanitary Services",Electric services (4911),Corporation,1962
6d3d1a3dbf1b4926b4deb5998ceb1211,Intesa Sanpaolo Spa,"VIA MONTE DI PIETA' 8, MILANO, 20121, MILANO, ITALY",IT10810700152,H-IT0026290537,"Finance, Insurance, and Real Estate",National commercial bank (6021),Corporation,1925
345613b82db04f0abd1742a7fc2bda1c,Telecom Italia Spa,"VIA GAETANO NEGRI 1, MILANO, 20123, MILANO, ITALY",IT00488410010,H-IT0010336109,"Transportation, Communications, Electric, Gas, and Sanitary Services",Telephone communications (4813),Corporation,1908
8143e1571ae5469d8a6f871de7a7d27e,Poste Vita Spa,"VIALE EUROPA 190, ROMA, 00144, ROMA, ITALY",IT05927271006,H-IT0012766704,"Finance, Insurance, and Real Estate",Life insurance carrier (6311),Corporation,1996
5a363b6ba0de4c828cb4fccae57c7aad,Fca Italy S.p.a. In Forma Fiat Chrysler Automobiles E In Forma Abbreviato Fiat Group Autom,"CORSO GIOVANNI AGNELLI 200, TORINO, 10135, TORINO, ITALY",IT07973780013,H-IT0075465809,Manufacturing,Mfg motor vehicle/car bodies (3711),Corporation,1978
a27433f350ee4101a5baf877f0f0d210,Enel Italia Spa,"VIALE REGINA MARGHERITA 125, ROMA, 00198, ROMA, ITALY",IT06377691008,H-IT0049563343,"Finance, Insurance, and Real Estate",Holding company (6719),Corporation,2001
9e25c6bd284e4107a47c7bf32a7121cf,Gestore Dei Mercati Energetici Spa,"VIALE MARESCIALLO PILSUDSKI 122/124, ROMA, 00197, ROMA, ITALY",IT06208031002,H-IT0056071078,"Transportation, Communications, Electric, Gas, and Sanitary Services",Electric services (4911),Corporation,2000
3a658323531e4946a3a4dcfd7b67e2a3,Amazon Eu S.a Rl,"VIALE MONTE GRAPPA 3/5, MILANO, 20124, MILANO, ITALY",IT08973230967,H-IT0044869029,Retail Trade,Ret mail-order house (5961),Foreign Company,2011
f66a2ecc96084364956f85b03f1ebe7b,Gestore Dei Servizi Energetici - Gse Spa,"VIALE MARESCIALLO PILSUDSKI 92, ROMA, 00197, ROMA, ITALY",IT05754381001,H-IT0008779732,"Transportation, Communications, Electric, Gas, and Sanitary Services",Electric services (4911),Corporation,1999
0dfdc74135c44882a24f3942dbe6d564,Eni Spa,"PIAZZALE ENRICO MATTEI 1, ROMA, 00144, ROMA, ITALY",IT00905811006,H-IT0032444168,Manufacturing,Petroleum refiner (2911),Corporation,1953
