wikipedia-notes,disfold-sector,ft-sector,valuetoday-sector,wikipedia-sector,ambitiobox-industry,ariregister-industry,cbinsights-industry,disfold-industry,forbes-industry,globaldata-industry,hithorizons-industry,teamblind-industry,valuetoday-industry,wikipedia-industry,companiesmarketcap-categories,disfold-categories
brewery,utilities,health,,brewers,pharma,,,utilities—regulated electric,transportation,power,,,"['industries', 'transportation', 'marine transportation', 'shipping']",consumer goods,"['software', 'tech', 'financial services']",
investments,healthcare,technology,,investment services,it services & consulting,,,medical devices,utilities,financial services,,,"['financial services', 'asset management', 'insurance', 'investments']",financials,"['electricity', 'utility companies', 'oil&gas', 'energy']",
bank,communication services,technology,,banks,legal,,,telecom services,banking,construction,,,"['entertainment', 'leisure', 'gym and fitness', 'healthcare service']",financials,"['reits', 'real estate', 'investment']",
"steel, merged into arcelormittal 2006",technology,food & beverage,,iron & steel,financial services,,,consumer electronics,consumer durables,pharmaceuticals and healthcare,,,"['energy', 'oil and gas']",basic materials,['financial services'],
steel,energy,technology,,iron & steel,oil & gas,,,oil & gas midstream,banking,consumer packaged goods,,,"['consumer defensive', 'fmcg', 'package foods', 'food products']",basic materials,"['oil&gas', 'energy']",
electronic office equipment,consumer discretionary,energy,,technology hardware & equipment,healthcare,,,gambling,banking,construction,,,"['real estate', 'consumer services', 'retail']",technology,['conglomerate'],
bank,industrials,support services,,banks,auto components,,,conglomerates,"food, drink & tobacco",consumer packaged goods,,,"['financial services', 'insurance']",financials,"['media/press', 'entertainment']",
bank,real estate,restaurants,,banks,,,,reit—office,oil & gas operations,medical equipment,,,"['technology', 'software and it']",financials,['insurance'],
bank,financials,energy,,banks,consumer electronics & appliances,,,credit services,consumer durables,financial services,,,"['technology', 'computers hardware']",financials,,
bank,financials,personal & household goods,,banks,hospitality,,,banks,household & personal products,media,,,"['industries', 'industry machinery']",financials,"['oil&gas', 'oil & gas equipment & services', 'energy']",
"investments, financial services",financials,management consulting,,investment services,other,,,asset management,utilities,technology and communications,,,"['energy', 'oil and gas']",financials,,
brewery,real estate,technology,,brewers,industrial machinery,,,real estate—diversified,consumer durables,transport and logistics,,,"['healthcare', 'biopharmaceutical', 'biotechnology']",consumer goods,"['real estate', 'investment', 'reits']",
supermarkets,financials,technology,,food retailers & wholesalers,legal,,,capital markets,business services & supplies,energy and utilities,,,"['industries', 'machinery manufacturing', 'construction materials', 'capital goods', 'heavy machinery']",consumer services,"['medical care facilities', 'real estate', 'investment', 'reits']",
cargo airline,basic materials,technology,,delivery services,financial services,,,specialty chemicals,diversified financials,financial services,,,"['communication services', 'telecom', 'utilities', 'telecom equipment']",industrials,"['real estate', 'investment', 'reits']",
electrical and gas distribution,consumer discretionary,media,,multiutilities,auto components,,,internet retail,diversified financials,retailing,,,"['consumer cyclical', 'automobile', 'automobile parts', 'consumer durables', 'automobile dealers']",utilities,"['real estate', 'investment', 'reits']",
central bank,financials,technology,,banks,fashion & textile,,,insurance—property & casualty,materials,industrial goods and machinery,,,"['technology', 'electronics', 'semiconductors']",financials,,
healthcare,financials,retail,,health care providers,electronics manufacturing,,,insurance brokers,it software & services,construction,,,"['industries', 'industry machinery', 'engineering products']",health care,"['financial services', 'investment']",
industrial manufacturing,technology,retail,,diversified industrials,,,,information technology services,banking,consumer packaged goods,,,"['healthcare', 'healthcare products', 'biotechnology']",industrials,,
luxury restaurants and clubs,consumer discretionary,construction,,restaurants & bars,consumer electronics & appliances,,,resorts & casinos,consumer durables,retailing,,,"['industries', 'industry machinery', 'machinery manufacturing']",consumer services,"['pharmaceuticals', 'biotech', 'cannabis']",
private equity,financials,technology,,asset managers,electrical equipment,,,banks,construction,financial services,,,"['industries', 'electrical products', 'cables and wires']",financials,,
publishing,communication services,industrial goods,,publishing,agro chemicals,,,telecom services,insurance,pharmaceuticals and healthcare,,,"['industries', 'railway', 'railway operating company', 'rail transport', 'transportation']",consumer services,['real estate'],
insurance,financials,construction,,full line insurance,telecom,,,insurance—diversified,construction,chemicals,,,"['industries', 'heavy machinery']",financials,['telecommunication'],
"financials, construction, hotels",communication services,fintech,,-,accounting & auditing,,,telecom services,materials,technology and communications,,,"['healthcare', 'medical equipment', 'biotechnology']",conglomerates,"['banks', 'financial services']",
investments,industrials,technology,,specialty finance,semiconductors,,,engineering & construction,banking,construction,,,"['basic materials', 'chemicals']",financials,['cannabis'],
eyewear,financials,construction,,personal products,healthcare,,,insurance—life,banking,chemicals,,,"['consumer cyclical', 'automobile', 'automobile parts']",consumer goods,['insurance'],
bank,consumer staples,technology,,banks,bpo,,,tobacco,oil & gas operations,technology and communications,,,"['energy', 'oil and gas', 'natural gas generation', 'gas utilities', 'natural gas distribution']",financials,"['engineering', 'professional services']",
investments,financials,automobiles,,investment services,agriculture,,,insurance—diversified,trading companies,energy and utilities,,,"['real estate', 'property investments']",financials,,
newspaper,basic materials,technology,,publishing,it services & consulting,,,aluminum,banking,financial services,,,"['energy', 'oil and gas', 'oil refining', 'petrochemicals']",consumer services,['engineering'],
"airline, defunct 1990",healthcare,technology,,airlines,auto components,,,diagnostics & research,semiconductors,technology and communications,,,"['consumer cyclical', 'automobile parts', 'engineering products', 'automobile']",consumer services,"['it services', 'professional services', 'software', 'tech']",
luxury brands holding,financials,energy,,clothing & accessories,real estate,,,insurance—reinsurance,construction,energy and utilities,,,"['basic materials', 'mining']",consumer goods,"['software', 'tech']",
airline,real estate,technology,,airlines,,,,reit—residential,drugs & biotechnology,automotive,,,"['healthcare', 'hospitals', 'healthcare service']",consumer services,"['transportation', 'maritime transportation']",
animation studio,financials,management consulting,,broadcasting & entertainment,packaging,,,capital markets,materials,consumer packaged goods,,,"['industries', 'logistics']",consumer services,"['real estate', 'investment', 'reits']",
primary exchange,technology,automobiles,,investment services,pharma,,,solar,business services & supplies,technology and communications,,,"['utilities', 'electric utilities']",financials,,
financial holdings,basic materials,construction,,investment services,automobile,,,other industrial metals & mining,banking,power,,,financial services,financials,"['oil&gas', 'utility companies', 'energy']",
