08-slytherin-revenue,07-silvestri-revenue_2022,00-avengers-annual_revenue_in_usd,04-iGMM-annual_revenue_in_usd,03-gren-annual_revenue_usd
"1,567 million usd",,"1,567 million usd","9,262 million usd",747000000.0
"7,506 million usd",,"9,262 million usd","5,182 million usd",9262000000.0
"5,182 million usd",,514 million usd,"2,877 million usd",5182000000.0
"69,316 million usd",,"6,113 million usd",823 million usd,2877000000.0
"14,440 million usd",,"12,293 million usd",698 million usd,823000000.0
823 million usd,,"7,506 million usd","14,440 million usd",698000000.0
698 million usd,,"14,440 million usd","7,506 million usd",14440000000.0
514 million usd,,698 million usd,"12,293 million usd",7506000000.0
"12,293 million usd",,823 million usd,"6,113 million usd",12293000000.0
"6,113 million usd",,"2,877 million usd",514 million usd,6113000000.0
"2,877 million usd",,"5,182 million usd","69,316 million usd",514000000.0
"3,469 million usd",,"2,949 million usd","18,347 million usd",69316000000.0
"5,763 million usd",,"7,447 million usd","3,469 million usd",18347000000.0
"1,169 million usd",,"4,288 million usd",515 million usd,3469000000.0
"4,288 million usd",,"4,071 million usd","1,169 million usd",515000000.0
"18,347 million usd",,"1,159 million usd","1,159 million usd",1169000000.0
"7,447 million usd",,"1,169 million usd","4,071 million usd",1159000000.0
"4,071 million usd",,515 million usd,"4,288 million usd",4071000000.0
"2,949 million usd",,"3,469 million usd","7,447 million usd",4288000000.0
"1,159 million usd",,"18,347 million usd","2,949 million usd",7447000000.0
515 million usd,,"69,316 million usd","5,763 million usd",2949000000.0
"3,475 million usd",,"5,763 million usd","3,475 million usd",5763000000.0
177 million usd,,"22,353 million usd","2,755 million usd",3475000000.0
"1,316 million usd",,"1,281 million usd","1,316 million usd",2755000000.0
"12,095 million usd",,177 million usd,782 million usd,1316000000.0
"1,281 million usd",,"1,819 million usd","1,819 million usd",782000000.0
"1,819 million usd",,"12,095 million usd","12,095 million usd",1819000000.0
"5,654 million usd",,"1,316 million usd",177 million usd,12095000000.0
"22,353 million usd",,782 million usd,"1,281 million usd",177000000.0
782 million usd,,"2,755 million usd","22,353 million usd",1281000000.0
"2,755 million usd",,"3,475 million usd","5,654 million usd",22353000000.0
"3,092 million usd",,"5,654 million usd","3,092 million usd",5654000000.0
"8,230 million usd",,0 million usd,"1,338 million usd",3092000000.0
647 million usd,,235 million usd,"3,150 million usd",1338000000.0
235 million usd,,"8,230 million usd",647 million usd,3150000000.0
"34,477 million usd",,"11,914 million usd","34,477 million usd",647000000.0
"11,914 million usd",,"34,477 million usd","11,914 million usd",34477000000.0
"3,150 million usd",,647 million usd,"8,230 million usd",11914000000.0
0 million usd,,"3,150 million usd",235 million usd,8230000000.0
"11,778 million usd",,"1,338 million usd",0 million usd,235000000.0
"1,338 million usd",,"3,092 million usd","11,778 million usd",0.0
244 million usd,,"11,778 million usd",509 million usd,11778000000.0
509 million usd,,"1,833 million usd","3,864 million usd",509000000.0
"2,853 million usd",,"3,653 million usd",486 million usd,3864000000.0
"1,833 million usd",,"2,853 million usd","1,856 million usd",486000000.0
"1,856 million usd",,244 million usd,"7,021 million usd",1856000000.0
486 million usd,,"7,021 million usd",244 million usd,7021000000.0
491 million usd,,"1,856 million usd","2,853 million usd",244000000.0
"7,021 million usd",,486 million usd,"3,653 million usd",2853000000.0
"3,653 million usd",,"3,864 million usd","1,833 million usd",3653000000.0
"3,864 million usd",,509 million usd,491 million usd,1833000000.0
644 million usd,,491 million usd,845 million usd,491000000.0
845 million usd,,"1,545 million usd",609 million usd,845000000.0
"1,545 million usd",,"32,010 million usd","2,437 million usd",609000000.0
"2,437 million usd",,383 million usd,644 million usd,2437000000.0
"32,010 million usd",,"6,571 million usd","2,429 million usd",644000000.0
"6,571 million usd",,"2,429 million usd","6,571 million usd",2429000000.0
"2,429 million usd",,644 million usd,383 million usd,6571000000.0
"11,138 million usd",,"2,437 million usd","32,010 million usd",383000000.0
383 million usd,,609 million usd,"1,545 million usd",32010000000.0
609 million usd,,845 million usd,"11,138 million usd",1545000000.0
"22,831 million usd",,"11,138 million usd","22,831 million usd",11138000000.0
"2,764 million usd",,"10,187 million usd","79,271 million usd",22831000000.0
"4,509 million usd",,"2,157 million usd","2,764 million usd",79271000000.0
"3,895 million usd",,"12,917 million usd","4,509 million usd",2764000000.0
724 million usd,,724 million usd,"9,184 million usd",4509000000.0
"2,157 million usd",,"9,184 million usd",724 million usd,9184000000.0
"9,184 million usd",,"4,509 million usd","12,917 million usd",724000000.0
"10,187 million usd",,"2,764 million usd","2,157 million usd",12917000000.0
"12,917 million usd",,"79,271 million usd","10,187 million usd",2157000000.0
"79,271 million usd",,"22,831 million usd","3,895 million usd",10187000000.0
"3,299 million usd",,"3,895 million usd",268 million usd,3895000000.0
268 million usd,,"2,769 million usd","4,195 million usd",268000000.0
900 million usd,,"14,692 million usd","8,498 million usd",4195000000.0
"8,498 million usd",,"2,933 million usd",731 million usd,8498000000.0
"14,692 million usd",,900 million usd,522 million usd,731000000.0
731 million usd,,522 million usd,900 million usd,522000000.0
"2,933 million usd",,731 million usd,"2,933 million usd",900000000.0
522 million usd,,"8,498 million usd","14,692 million usd",2933000000.0
"4,195 million usd",,"4,195 million usd","2,769 million usd",14692000000.0
"2,769 million usd",,268 million usd,"3,299 million usd",2769000000.0
343 million usd,,"3,299 million usd","1,685 million usd",3299000000.0
"14,348 million usd",,"4,066 million usd","1,975 million usd",1685000000.0
667 million usd,,667 million usd,"25,316 million usd",1975000000.0
373 million usd,,373 million usd,"1,425 million usd",25316000000.0
"25,316 million usd",,343 million usd,"5,077 million usd",1425000000.0
"1,425 million usd",,"5,077 million usd",343 million usd,5077000000.0
"16,667 million usd",,"1,425 million usd",373 million usd,343000000.0
"1,975 million usd",,"25,316 million usd",667 million usd,373000000.0
"5,077 million usd",,"1,975 million usd","16,667 million usd",667000000.0
"1,685 million usd",,"1,685 million usd","14,348 million usd",4066000000.0
"2,844 million usd",,"16,667 million usd","2,844 million usd",16667000000.0
"1,213 million usd",,849 million usd,"1,213 million usd",14348000000.0
193 million usd,,396 million usd,193 million usd,2844000000.0
0 million usd,,"5,551 million usd","1,048 million usd",1213000000.0
849 million usd,,"2,562 million usd","2,562 million usd",193000000.0
396 million usd,,"1,048 million usd","5,551 million usd",1048000000.0
"1,048 million usd",,193 million usd,396 million usd,2562000000.0
"2,562 million usd",,"1,213 million usd",849 million usd,5551000000.0
"5,551 million usd",,"2,844 million usd",0 million usd,396000000.0
"2,271 million usd",,"14,348 million usd","2,271 million usd",849000000.0
743 million usd,,0 million usd,743 million usd,0.0
not found,,,"7,393 million usd",2271000000.0
55 million usd,,691 million usd,,743000000.0
"7,393 million usd",,55 million usd,,7393000000.0
691 million usd,,,,
not found,,,55 million usd,
not found,,,691 million usd,
not found,,"7,393 million usd",,55000000.0
not found,,743 million usd,,691000000.0
not found,,"2,271 million usd",,
"3,140 million usd",,,"4,925 million usd",
663 million usd,,"1,073 million usd",405 million usd,
687 million usd,,663 million usd,687 million usd,4925000000.0
"4,925 million usd",,"4,941 million usd","1,918 million usd",405000000.0
405 million usd,,"1,597 million usd","1,597 million usd",687000000.0
"4,941 million usd",,"1,918 million usd","4,941 million usd",1918000000.0
"1,918 million usd",,687 million usd,663 million usd,1597000000.0
"1,597 million usd",,405 million usd,"1,073 million usd",4941000000.0
"1,281 million usd",,"4,925 million usd","3,140 million usd",663000000.0
"1,073 million usd",,,"1,281 million usd",1073000000.0
"5,571 million usd",,"3,140 million usd","18,119 million usd",3140000000.0
"2,073 million usd",,"4,998 million usd",398 million usd,1281000000.0
not found,,853 million usd,,18119000000.0
"1,502 million usd",,"2,073 million usd","31,850 million usd",398000000.0
398 million usd,,"1,502 million usd","1,502 million usd",
"18,119 million usd",,"31,850 million usd","2,073 million usd",31850000000.0
"31,850 million usd",,,"4,998 million usd",1502000000.0
853 million usd,,398 million usd,853 million usd,2073000000.0
"1,894 million usd",,"18,119 million usd","5,571 million usd",4998000000.0
"4,998 million usd",,"1,281 million usd","1,894 million usd",853000000.0
"2,188 million usd",,"5,571 million usd","2,188 million usd",5571000000.0
"18,212 million usd",,"35,211 million usd","1,589 million usd",1894000000.0
"1,213 million usd",,"18,212 million usd","1,213 million usd",2188000000.0
"35,211 million usd",,"1,699 million usd","5,683 million usd",1589000000.0
"1,589 million usd",,"1,446 million usd","1,446 million usd",1213000000.0
"1,699 million usd",,"5,683 million usd","1,699 million usd",5683000000.0
"1,446 million usd",,"1,213 million usd","18,212 million usd",1446000000.0
"5,683 million usd",,"1,589 million usd","35,211 million usd",1699000000.0
2308 million usd annual revenue for year ending dec-2020,,"2,188 million usd",,18212000000.0
"1,183 million usd",,"1,894 million usd","1,183 million usd",35211000000.0
"8,880 million usd",,,"4,276 million usd",
"6,218 million usd",,"9,570 million usd","1,241 million usd",1183000000.0
"4,578 million usd",,"1,460 million usd","2,811 million usd",4276000000.0
"3,438 million usd",,"6,218 million usd","3,438 million usd",1241000000.0
"4,276 million usd",,"2,006 million usd","2,006 million usd",2811000000.0
"1,241 million usd",,"3,438 million usd","6,218 million usd",3438000000.0
"9,570 million usd",,"2,811 million usd","1,460 million usd",2006000000.0
"1,460 million usd",,"1,241 million usd","9,570 million usd",6218000000.0
"2,006 million usd",,"4,276 million usd","4,578 million usd",1460000000.0
"2,811 million usd",,"1,183 million usd","8,880 million usd",9570000000.0
"6,744 million usd",,"4,578 million usd","2,180 million usd",4578000000.0
"2,180 million usd",,549 million usd,"1,371 million usd",8880000000.0
"5,646 million usd",,"3,712 million usd","6,744 million usd",2180000000.0
"4,930 million usd",,"1,619 million usd","13,088 million usd",1371000000.0
"3,064 million usd",,"4,930 million usd","4,930 million usd",6744000000.0
"1,371 million usd",,"13,088 million usd","1,619 million usd",13088000000.0
"3,712 million usd",,"6,744 million usd","3,712 million usd",4930000000.0
"13,088 million usd",,"1,371 million usd",549 million usd,1619000000.0
549 million usd,,"2,180 million usd","5,646 million usd",3712000000.0
"1,619 million usd",,"8,880 million usd","3,064 million usd",549000000.0
"6,635 million usd",,"5,646 million usd","6,635 million usd",5646000000.0
"13,349 million usd",,"28,168 million usd","5,587 million usd",3064000000.0
674 million usd,,674 million usd,"5,265 million usd",6635000000.0
"5,265 million usd",,603 million usd,"2,765 million usd",5587000000.0
941 million usd,,941 million usd,941 million usd,5265000000.0
"8,910 million usd",,"2,765 million usd",603 million usd,2765000000.0
"5,587 million usd",,"5,265 million usd",674 million usd,941000000.0
"28,168 million usd",,"5,587 million usd","28,168 million usd",603000000.0
603 million usd,,"6,635 million usd","8,910 million usd",674000000.0
"2,765 million usd",,"3,064 million usd","13,349 million usd",28168000000.0
"20,810 million usd",,"8,910 million usd","8,028 million usd",8910000000.0
"11,736 million usd",,"2,501 million usd","5,608 million usd",13349000000.0
409 million usd,,"11,736 million usd","1,069 million usd",8028000000.0
"3,186 million usd",,"3,186 million usd",648 million usd,5608000000.0
"5,608 million usd",,409 million usd,409 million usd,1069000000.0
648 million usd,,648 million usd,"3,186 million usd",648000000.0
"1,069 million usd",,"1,069 million usd","11,736 million usd",409000000.0
"8,028 million usd",,"5,608 million usd","2,501 million usd",3186000000.0
"2,501 million usd",,"8,028 million usd","9,221 million usd",11736000000.0
"9,221 million usd",,"13,349 million usd","20,810 million usd",2501000000.0
"1,507 million usd",,"9,221 million usd","5,303 million usd",9221000000.0
"2,165 million usd",,"3,958 million usd","2,165 million usd",20810000000.0
"5,080 million usd",,"1,799 million usd","8,008 million usd",5303000000.0
"2,846 million usd",,"1,507 million usd","5,080 million usd",2165000000.0
"8,008 million usd",,"4,788 million usd","4,788 million usd",8008000000.0
462 million usd,,"5,080 million usd","1,507 million usd",5080000000.0
"4,788 million usd",,"8,008 million usd","1,799 million usd",4788000000.0
"5,303 million usd",,"2,165 million usd","3,958 million usd",1507000000.0
"3,958 million usd",,"5,303 million usd",462 million usd,1799000000.0
"1,799 million usd",,"20,810 million usd","2,846 million usd",3958000000.0
306 million usd,,"1,208 million usd",306 million usd,462000000.0
"16,265 million usd",,"16,265 million usd","23,086 million usd",2846000000.0
"11,582 million usd",,517 million usd,"11,582 million usd",306000000.0
517 million usd,,696 million usd,726 million usd,23086000000.0
511 million usd,,726 million usd,696 million usd,11582000000.0
696 million usd,,"11,582 million usd",517 million usd,726000000.0
726 million usd,,"23,086 million usd","16,265 million usd",696000000.0
"23,086 million usd",,306 million usd,"1,208 million usd",517000000.0
"1,208 million usd",,"2,846 million usd","3,788 million usd",16265000000.0
"3,788 million usd",,462 million usd,511 million usd,1208000000.0
"3,022 million usd",,"7,339 million usd","2,254 million usd",3788000000.0
"1,731 million usd",,549 million usd,"1,444 million usd",511000000.0
549 million usd,,702 million usd,"3,089 million usd",2254000000.0
