,name,market_cap,country,share_price,change_1_day,change_1_year,categories,company_code,earnings,revenue,shares,employees
23387,Nordex,2980000000.0,Germany,14.0,,,,,,,,
23388,Santen Pharmaceutical,2980000000.0,Japan,8.0,,,,,,,,
23389,Federal Signal,2980000000.0,USA,49.0,,,,,,,,
23390,Plexus,2980000000.0,USA,108.0,,,,,,,,
23391,SunPower,2980000000.0,USA,17.0,,,,,,,,
23392,Graham Holdings,2980000000.0,USA,621.0,,,,,,,,
23393,DAQO New Energy,2980000000.0,China,40.0,,,,,,,,
23394,MultiChoice Group,2980000000.0,South Africa,7.0,,,,,,,,
23395,Pacific Premier Bancorp,2980000000.0,USA,31.0,,,,,,,,
23396,Sumitomo Chemical India,2980000000.0,India,6.0,,,,,,,,
23397,EVO Payments,2980000000.0,USA,34.0,,,,,,,,
23398,CNX Resources,2970000000.0,USA,16.0,,,,,,,,
23399,Crestwood Equity Partners,2970000000.0,USA,28.0,,,,,,,,
23400,ASM Pacific Technology,2970000000.0,Hong Kong,7.0,,,,,,,,
23401,CD Projekt,2970000000.0,Poland,30.0,,,,,,,,
23402,Cargotec,2970000000.0,Finland,46.0,,,,,,,,
23403,Mr. Cooper Group,2960000000.0,USA,42.0,,,,,,,,
23404,Tandem Diabetes Care,2960000000.0,USA,46.0,,,,,,,,
23405,Comstock Resources,2960000000.0,USA,13.0,,,,,,,,
23406,Atlantica,2950000000.0,UK,25.0,,,,,,,,
23407,KB Home,2950000000.0,USA,35.0,,,,,,,,
23408,Cushman & Wakefield,2950000000.0,USA,13.0,,,,,,,,
23409,Strauss Group,2950000000.0,Israel,25.0,,,,,,,,
23410,Sportradar,2950000000.0,Switzerland,10.0,,,,,,,,
23411,Axonics Modulation Tech,2950000000.0,USA,60.0,,,,,,,,
23412,Axsome Therapeutics,2950000000.0,USA,68.0,,,,,,,,
23413,ATS Automation,2950000000.0,Canada,32.0,,,,,,,,
23414,Jackson Financial,2940000000.0,USA,36.0,,,,,,,,
23415,Ginkgo Bioworks,2940000000.0,USA,2.0,,,,,,,,
23416,Papa John's Pizza,2940000000.0,USA,83.0,,,,,,,,
23417,PagSeguro,2940000000.0,Brazil,9.0,,,,,,,,
23418,Suntec REIT,2940000000.0,Singapore,1.0,,,,,,,,
23419,CA Immo,2940000000.0,Austria,29.0,,,,,,,,
23420,Softcat,2940000000.0,UK,15.0,,,,,,,,
23421,PennyMac,2930000000.0,USA,59.0,,,,,,,,
23422,Terex,2930000000.0,USA,44.0,,,,,,,,
23423,Radian Group,2930000000.0,USA,19.0,,,,,,,,
23424,Intercorp Financial Services,2930000000.0,Peru,25.0,,,,,,,,
23425,O-I Glass,2930000000.0,USA,19.0,,,,,,,,
23426,GMR Group,2930000000.0,India,0.0,,,,,,,,
23427,J&J Snack Foods,2930000000.0,USA,153.0,,,,,,,,
23428,Greggs,2930000000.0,UK,28.0,,,,,,,,
23429,Squarespace,2920000000.0,USA,21.0,,,,,,,,
23430,Tata Chemicals,2920000000.0,India,11.0,,,,,,,,
23431,Commvault,2920000000.0,USA,66.0,,,,,,,,
23432,LXP Industrial Trust,2920000000.0,USA,11.0,,,,,,,,
23433,Cogent Communications,2920000000.0,USA,61.0,,,,,,,,
23434,Rush Enterprises,2920000000.0,USA,53.0,,,,,,,,
23435,Moelis & Company,2910000000.0,USA,42.0,,,,,,,,
23436,Methanex,2910000000.0,Canada,41.0,,,,,,,,
23437,Westports,2910000000.0,Malaysia,1.0,,,,,,,,
23438,Gelsenwasser,2910000000.0,Germany,848.0,,,,,,,,
23439,AMP Limited,2910000000.0,Australia,1.0,,,,,,,,
23440,Impinj,2910000000.0,USA,112.0,,,,,,,,
23441,Iluka Resources,2910000000.0,Australia,7.0,,,,,,,,
23442,Growthpoint Properties,2900000000.0,South Africa,1.0,,,,,,,,
23443,Wizz Air,2900000000.0,Jersey,28.0,,,,,,,,
23444,Guoco,2900000000.0,Hong Kong,9.0,,,,,,,,
23445,Vienna Airport,2900000000.0,Austria,34.0,,,,,,,,
23446,StoneCo,2900000000.0,Brazil,9.0,,,,,,,,
23447,Syngene International,2900000000.0,India,7.0,,,,,,,,
23448,Chindata,2890000000.0,China,8.0,,,,,,,,
23449,Galapagos NV,2890000000.0,Belgium,44.0,,,,,,,,
23450,Linamar,2890000000.0,Canada,47.0,,,,,,,,
23451,Outfront Media,2890000000.0,USA,18.0,,,,,,,,
23452,Duolingo,2890000000.0,USA,72.0,,,,,,,,
23453,STAAR Surgical,2890000000.0,USA,60.0,,,,,,,,
23454,nternational Bancshares Corp,2890000000.0,USA,47.0,,,,,,,,
23455,EFG International,2880000000.0,Switzerland,9.0,,,,,,,,
23456,Nomad Foods,2880000000.0,UK,17.0,,,,,,,,
23457,Coforge,2880000000.0,India,47.0,,,,,,,,
23458,Ströer,2870000000.0,Germany,51.0,,,,,,,,
23459,Axcelis Technologies,2870000000.0,USA,88.0,,,,,,,,
23460,Atlas Air Worldwide Holdings,2870000000.0,USA,101.0,,,,,,,,
23461,Kyndryl,2870000000.0,USA,13.0,,,,,,,,
23462,Mainova,2870000000.0,Germany,522.0,,,,,,,,
23463,PTC Therapeutics,2870000000.0,USA,39.0,,,,,,,,
23464,Ameresco,2860000000.0,USA,55.0,,,,,,,,
23465,Fluence Energy,2860000000.0,USA,16.0,,,,,,,,
23466,Fulton Financial,2860000000.0,USA,17.0,,,,,,,,
23467,Rajesh Exports,2860000000.0,India,10.0,,,,,,,,
23468,MakeMyTrip,2860000000.0,India,27.0,,,,,,,,
23469,TreeHouse Foods,2860000000.0,USA,51.0,,,,,,,,
23470,Premium Brands,2850000000.0,Canada,64.0,,,,,,,,
23471,Main Street Capital,2840000000.0,USA,37.0,,,,,,,,
23472,CONMED,2840000000.0,USA,93.0,,,,,,,,
23473,Kansai Paint,2840000000.0,Japan,12.0,,,,,,,,
23474,Beam Therapeutics,2840000000.0,USA,40.0,,,,,,,,
23475,Sulzer,2840000000.0,Switzerland,84.0,,,,,,,,
23476,Polymetal,2840000000.0,Cyprus,6.0,,,,,,,,
23477,Televisa,2830000000.0,Mexico,5.0,,,,,,,,
23478,Thermax,2830000000.0,India,24.0,,,,,,,,
23479,Sprout Social,2830000000.0,USA,52.0,,,,,,,,
23480,Paramount Resources,2830000000.0,Canada,20.0,,,,,,,,
23481,BIC,2830000000.0,France,64.0,,,,,,,,
23482,Delhivery,2830000000.0,India,4.0,,,,,,,,
23483,WSFS Financial,2820000000.0,USA,46.0,,,,,,,,
23484,Vistry Group,2820000000.0,UK,8.0,,,,,,,,
23485,Dycom Industries,2820000000.0,USA,96.0,,,,,,,,
23486,Wienerberger,2820000000.0,Austria,26.0,,,,,,,,
23487,Kosmos Energy,2820000000.0,USA,6.0,,,,,,,,
23488,EngageSmart,2820000000.0,USA,17.0,,,,,,,,
23489,Simmons First National,2820000000.0,USA,22.0,,,,,,,,
23490,Array Technologies,2820000000.0,USA,19.0,,,,,,,,
23491,Grupo Aval,2810000000.0,Colombia,2.0,,,,,,,,
23492,IronSource,2810000000.0,Israel,3.0,,,,,,,,
23493,American Eagle Outfitters,2810000000.0,USA,15.0,,,,,,,,
23494,nCino,2800000000.0,USA,25.0,,,,,,,,
23495,Prospect Capital,2800000000.0,USA,7.0,,,,,,,,
23496,Pegasystems,2800000000.0,USA,34.0,,,,,,,,
23497,Blueprint Medicines,2800000000.0,USA,47.0,,,,,,,,
23498,Sigma Lithium,2800000000.0,Canada,27.0,,,,,,,,
23499,Innovative Industrial,2800000000.0,USA,100.0,,,,,,,,
23500,ACADIA Pharmaceuticals,2800000000.0,USA,17.0,,,,,,,,
23501,Siegfried Holding,2800000000.0,Switzerland,659.0,,,,,,,,
23502,Torrent Power,2800000000.0,India,6.0,,,,,,,,
23503,Atul,2790000000.0,India,95.0,,,,,,,,
23504,BancFirst,2790000000.0,USA,85.0,,,,,,,,
23505,Forward Air,2790000000.0,USA,105.0,,,,,,,,
23506,Grocery Outlet,2790000000.0,USA,29.0,,,,,,,,
23507,Timken India,2790000000.0,India,37.0,,,,,,,,
23508,Capstone Copper,2790000000.0,Canada,4.0,,,,,,,,
23509,NEXTDC,2790000000.0,Australia,6.0,,,,,,,,
23510,Marel,2780000000.0,Iceland,4.0,,,,,,,,
23511,Evergrande,2780000000.0,China,0.0,,,,,,,,
23512,Equity Commonwealth,2780000000.0,USA,25.0,,,,,,,,
23513,Sumitomo Dainippon Pharma,2780000000.0,Japan,7.0,,,,,,,,
23514,EPR Properties,2780000000.0,USA,37.0,,,,,,,,
23515,SITE Centers,2770000000.0,USA,13.0,,,,,,,,
23516,PacWest Bancorp,2770000000.0,USA,24.0,,,,,,,,
23517,Ingevity,2770000000.0,USA,74.0,,,,,,,,
23518,Prothena,2760000000.0,Ireland,54.0,,,,,,,,
23519,Hannon Armstrong,2760000000.0,USA,31.0,,,,,,,,
23520,Zee Entertainment,2760000000.0,India,3.0,,,,,,,,
23521,CT REIT,2760000000.0,Canada,12.0,,,,,,,,
23522,Liberty Energy,2760000000.0,USA,15.0,,,,,,,,
23523,Corporación Financiera Alba,2760000000.0,Spain,47.0,,,,,,,,
23524,Viva Energy,2760000000.0,Australia,2.0,,,,,,,,
23525,TripAdvisor,2760000000.0,USA,20.0,,,,,,,,
23526,Altarea,2750000000.0,France,137.0,,,,,,,,
23527,Walker & Dunlop,2750000000.0,USA,83.0,,,,,,,,
23528,Dixon Technologies,2750000000.0,India,46.0,,,,,,,,
23529,Vidrala,2750000000.0,Spain,91.0,,,,,,,,
23530,SKF India,2750000000.0,India,56.0,,,,,,,,
23531,Patterson Companies,2740000000.0,USA,28.0,,,,,,,,
23532,Mercury Systems,2740000000.0,USA,47.0,,,,,,,,
23533,Allreal Holding,2740000000.0,Switzerland,166.0,,,,,,,,
23534,Rubis,2740000000.0,France,27.0,,,,,,,,
23535,Oil India,2740000000.0,India,3.0,,,,,,,,
23536,Evolent Health,2740000000.0,USA,27.0,,,,,,,,
23537,Bank Jago,2740000000.0,Indonesia,0.0,,,,,,,,
23538,Nerolac Paints,2730000000.0,India,5.0,,,,,,,,
23539,First Capital REIT,2730000000.0,Canada,13.0,,,,,,,,
23540,Korn Ferry,2730000000.0,USA,52.0,,,,,,,,
23541,Amot Investment,2730000000.0,Israel,6.0,,,,,,,,
23542,Atlantic Union Bankshares,2720000000.0,USA,37.0,,,,,,,,
23543,Werner Enterprises,2720000000.0,USA,43.0,,,,,,,,
23544,Hisense Visual Technology,2720000000.0,China,2.0,,,,,,,,
23545,Aksa Energy,2720000000.0,Turkey,2.0,,,,,,,,
23546,Mitra Keluarga,2720000000.0,Indonesia,0.0,,,,,,,,
23547,Cogeco,2720000000.0,Canada,60.0,,,,,,,,
23548,Bausch Health,2720000000.0,Canada,7.0,,,,,,,,
23549,CNO Financial Group,2720000000.0,USA,24.0,,,,,,,,
23550,AbCellera,2720000000.0,Canada,10.0,,,,,,,,
23551,Makkah Construction & Development,2720000000.0,S. Arabia,17.0,,,,,,,,
23552,ViaSat,2710000000.0,USA,36.0,,,,,,,,
23553,Relaxo Footwear,2710000000.0,India,11.0,,,,,,,,
23554,Harmonic Drive Systems,2700000000.0,Japan,29.0,,,,,,,,
23555,Group 1 Automotive,2700000000.0,USA,186.0,,,,,,,,
23556,LIC Housing Finance,2690000000.0,India,5.0,,,,,,,,
23557,Boise Cascade,2690000000.0,USA,68.0,,,,,,,,
23558,Shoals Technologies,2690000000.0,USA,23.0,,,,,,,,
23559,Brink's,2690000000.0,USA,58.0,,,,,,,,
23560,JK Cement,2680000000.0,India,35.0,,,,,,,,
23561,Cal-Maine Foods,2680000000.0,USA,55.0,,,,,,,,
23562,JOYY,2680000000.0,China,38.0,,,,,,,,
23563,Nordstrom,2680000000.0,USA,17.0,,,,,,,,
23564,Park Hotels & Resorts,2680000000.0,USA,12.0,,,,,,,,
23565,Amedisys,2680000000.0,USA,83.0,,,,,,,,
23566,SimCorp,2670000000.0,Denmark,68.0,,,,,,,,
23567,Kulicke and Soffa Industries,2670000000.0,Singapore,47.0,,,,,,,,
23568,Computacenter,2670000000.0,UK,23.0,,,,,,,,
23569,MaxLinear,2660000000.0,USA,34.0,,,,,,,,
23570,Alvotech,2660000000.0,Iceland,11.0,,,,,,,,
23571,Helen of Troy,2660000000.0,USA,111.0,,,,,,,,
23572,Idorsia,2660000000.0,Switzerland,15.0,,,,,,,,
23573,SYNLAB,2660000000.0,Germany,12.0,,,,,,,,
23574,Coca-Cola İçecek,2660000000.0,Turkey,10.0,,,,,,,,
23575,Shapir Civil and Marine Engineering,2660000000.0,Israel,7.0,,,,,,,,
23576,Guardant Health,2650000000.0,USA,26.0,,,,,,,,
23577,Keywords Studios,2650000000.0,Ireland,34.0,,,,,,,,
23578,Dorman Products,2650000000.0,USA,85.0,,,,,,,,
23579,Installed Building Products,2650000000.0,USA,93.0,,,,,,,,
23580,Jet2,2650000000.0,UK,12.0,,,,,,,,
23581,Port of Tauranga,2650000000.0,New Zealand,4.0,,,,,,,,
23582,IVERIC bio,2640000000.0,USA,20.0,,,,,,,,
23583,HighPeak Energy,2640000000.0,USA,23.0,,,,,,,,
23584,AdaptHealth,2640000000.0,USA,20.0,,,,,,,,
23585,StepStone Group,2640000000.0,USA,26.0,,,,,,,,
23586,Alm. Brand,2640000000.0,Denmark,2.0,,,,,,,,
23587,Acerinox,2640000000.0,Spain,10.0,,,,,,,,
23588,Energizer Holdings,2630000000.0,USA,37.0,,,,,,,,
23589,Easterly Government Properties,2630000000.0,USA,15.0,,,,,,,,
23590,BankUnited,2630000000.0,USA,34.0,,,,,,,,
23591,Aarti Industries,2630000000.0,India,7.0,,,,,,,,
23592,Focus Financial Partners,2630000000.0,USA,40.0,,,,,,,,
23593,Petco,2620000000.0,USA,10.0,,,,,,,,
23594,Macerich,2620000000.0,USA,12.0,,,,,,,,
23595,Affirm,2620000000.0,USA,9.0,,,,,,,,
23596,Ermenegildo Zegna,2620000000.0,Italy,11.0,,,,,,,,
23597,Ipca Laboratories,2620000000.0,India,10.0,,,,,,,,
23598,ALSOK,2620000000.0,Japan,26.0,,,,,,,,
23599,Victoria's Secret & Co,2620000000.0,USA,32.0,,,,,,,,
23600,International Distributions Services (Royal Mail),2620000000.0,UK,3.0,,,,,,,,
23601,Punjab & Sind Bank,2610000000.0,India,0.0,,,,,,,,
23602,BGF Retail,2610000000.0,S. Korea,150.0,,,,,,,,
23603,Progyny,2610000000.0,USA,28.0,,,,,,,,
23604,Fonterra,2610000000.0,New Zealand,2.0,,,,,,,,
23605,Immunocore,2610000000.0,UK,55.0,,,,,,,,
23606,Spin Master,2610000000.0,Canada,25.0,,,,,,,,
23607,Innospec,2610000000.0,USA,105.0,,,,,,,,
23608,Doosan Bobcat,2610000000.0,S. Korea,26.0,,,,,,,,
23609,CRISIL,2600000000.0,India,36.0,,,,,,,,
23610,Pegasus Airlines,2600000000.0,Turkey,26.0,,,,,,,,
23611,Hub Group,2600000000.0,USA,78.0,,,,,,,,
23612,Flywire,2600000000.0,USA,24.0,,,,,,,,
23613,Kumho Petrochemical,2600000000.0,S. Korea,100.0,,,,,,,,
23614,Fortis Healthcare,2600000000.0,India,3.0,,,,,,,,
23615,Myovant Sciences,2600000000.0,UK,27.0,,,,,,,,
23616,New India Assurance,2600000000.0,India,2.0,,,,,,,,
23617,The Navigator Company,2600000000.0,Portugal,4.0,,,,,,,,
23618,Vector Limited,2590000000.0,New Zealand,3.0,,,,,,,,
23619,Arcosa,2590000000.0,USA,54.0,,,,,,,,
23620,Hensoldt,2590000000.0,Germany,25.0,,,,,,,,
23621,Grindwell Norton,2590000000.0,India,23.0,,,,,,,,
23622,Genworth Financial,2590000000.0,USA,5.0,,,,,,,,
23623,Hanesbrands,2590000000.0,USA,7.0,,,,,,,,
23624,Ultrapar Participacoes,2590000000.0,Brazil,2.0,,,,,,,,
23625,iRhythm,2580000000.0,USA,86.0,,,,,,,,
23626,Bachoco,2580000000.0,Mexico,51.0,,,,,,,,
23627,MGE Energy,2580000000.0,USA,71.0,,,,,,,,
23628,Rand Merchant Investment,2580000000.0,South Africa,2.0,,,,,,,,
23629,Vitesco Technologies Group,2580000000.0,Germany,65.0,,,,,,,,
23630,Mirati Therapeutics,2580000000.0,USA,45.0,,,,,,,,
23631,LCI Industries,2580000000.0,USA,102.0,,,,,,,,
23632,Lithium Americas,2580000000.0,Canada,19.0,,,,,,,,
23633,GoHealth,2580000000.0,USA,12.0,,,,,,,,
23634,Bayer Crop Science,2570000000.0,India,57.0,,,,,,,,
23635,Tohoku Electric Power,2570000000.0,Japan,5.0,,,,,,,,
23636,Alliance Resource Partners,2570000000.0,USA,20.0,,,,,,,,
23637,Spectrum Brands,2560000000.0,USA,63.0,,,,,,,,
23638,Trigano,2560000000.0,France,128.0,,,,,,,,
23639,Arch Resources,2550000000.0,USA,142.0,,,,,,,,
23640,Xerox,2550000000.0,USA,16.0,,,,,,,,
23641,Pick n Pay Stores,2550000000.0,South Africa,3.0,,,,,,,,
23642,PIERER Mobility,2550000000.0,Austria,75.0,,,,,,,,
23643,Varonis,2550000000.0,USA,23.0,,,,,,,,
23644,Immunovant,2540000000.0,USA,20.0,,,,,,,,
23645,Big Yellow Group,2540000000.0,UK,14.0,,,,,,,,
23646,Vivint Smart Home,2540000000.0,USA,12.0,,,,,,,,
23647,Freenet,2540000000.0,Germany,23.0,,,,,,,,
23648,Cvent,2540000000.0,USA,5.0,,,,,,,,
23649,First Merchants Corporation,2540000000.0,USA,43.0,,,,,,,,
23650,Konecranes,2540000000.0,Finland,32.0,,,,,,,,
23651,Cembra Money Bank,2530000000.0,Switzerland,85.0,,,,,,,,
23652,Certara,2530000000.0,USA,16.0,,,,,,,,
23653,Primo Water,2530000000.0,USA,16.0,,,,,,,,
23654,Resideo Technologies,2530000000.0,USA,17.0,,,,,,,,
23655,Kadokawa,2530000000.0,Japan,18.0,,,,,,,,
23656,Worthington Industries,2530000000.0,USA,52.0,,,,,,,,
23657,Bata India,2520000000.0,India,20.0,,,,,,,,
23658,Dürr,2520000000.0,Germany,36.0,,,,,,,,
23659,H&R REIT,2520000000.0,Canada,9.0,,,,,,,,
23660,Bank of Maharashtra,2520000000.0,India,0.0,,,,,,,,
23661,Hang Lung Group,2520000000.0,Hong Kong,2.0,,,,,,,,
23662,Apollo Tyres,2520000000.0,India,4.0,,,,,,,,
23663,Filo Mining,2520000000.0,Canada,21.0,,,,,,,,
23664,Red Rock Resorts,2520000000.0,USA,43.0,,,,,,,,
23665,Travis Perkins,2520000000.0,UK,12.0,,,,,,,,
23666,Northern Oil and Gas,2510000000.0,USA,30.0,,,,,,,,
23667,Encore Wire,2510000000.0,USA,137.0,,,,,,,,
23668,Metcash,2510000000.0,Australia,3.0,,,,,,,,
23669,Tianjin FAW,2510000000.0,China,0.0,,,,,,,,
23670,Alarm.com,2510000000.0,USA,50.0,,,,,,,,
23671,Excelerate Energy,2510000000.0,USA,23.0,,,,,,,,
23672,PB Fintech,2510000000.0,India,6.0,,,,,,,,
23673,Asana,2500000000.0,USA,12.0,,,,,,,,
23674,Insmed,2500000000.0,USA,19.0,,,,,,,,
23675,Allied Properties REIT,2500000000.0,Canada,20.0,,,,,,,,
23676,Devyani International,2500000000.0,India,2.0,,,,,,,,
23677,Otter Tail,2500000000.0,USA,60.0,,,,,,,,
23678,Keppel REIT,2500000000.0,Singapore,1.0,,,,,,,,
23679,Globalstar,2500000000.0,USA,1.0,,,,,,,,
23680,Safestore,2490000000.0,UK,11.0,,,,,,,,
23681,Extreme Networks,2490000000.0,USA,19.0,,,,,,,,
23682,Freshpet,2490000000.0,USA,52.0,,,,,,,,
23683,Nova Measuring Instruments,2490000000.0,Israel,87.0,,,,,,,,
23684,Gibson Energy,2490000000.0,Canada,17.0,,,,,,,,
23685,CorVel Corporation,2480000000.0,USA,144.0,,,,,,,,
23686,Dunelm Group,2480000000.0,UK,12.0,,,,,,,,
23687,VIAVI Solutions,2480000000.0,USA,11.0,,,,,,,,
23688,Life Time Group,2480000000.0,USA,13.0,,,,,,,,
23689,Ansell,2470000000.0,Australia,19.0,,,,,,,,
23690,Kunlun Tech,2470000000.0,China,2.0,,,,,,,,
23691,Balfour Beatty,2470000000.0,UK,4.0,,,,,,,,
23692,Vermilion Energy,2470000000.0,Canada,15.0,,,,,,,,
23693,Frontline,2470000000.0,Bermuda,11.0,,,,,,,,
23694,Vicor,2470000000.0,USA,56.0,,,,,,,,
23695,TeamViewer,2470000000.0,Germany,13.0,,,,,,,,
23696,TransAlta,2460000000.0,Canada,9.0,,,,,,,,
23697,Piper Sandler,2460000000.0,USA,138.0,,,,,,,,
23698,WH Smith,2460000000.0,UK,19.0,,,,,,,,
23699,SD BioSensor,2450000000.0,S. Korea,24.0,,,,,,,,
23700,Zain Saudi Arabia,2450000000.0,S. Arabia,3.0,,,,,,,,
23701,QuantumScape,2450000000.0,USA,6.0,,,,,,,,
23702,Privia Health Group,2450000000.0,USA,22.0,,,,,,,,
23703,Lundin Gold,2450000000.0,Canada,10.0,,,,,,,,
23704,QinetiQ,2450000000.0,UK,4.0,,,,,,,,
23705,MDC Holdings,2450000000.0,USA,34.0,,,,,,,,
23706,McGrath RentCorp,2450000000.0,USA,101.0,,,,,,,,
23707,Amylyx Pharmaceuticals,2450000000.0,USA,37.0,,,,,,,,
23708,Compañía Cervecerías Unidas,2440000000.0,Chile,13.0,,,,,,,,
23709,SJW Group,2440000000.0,USA,81.0,,,,,,,,
23710,Dana,2440000000.0,USA,17.0,,,,,,,,
23711,Innergex Renewable Energy,2440000000.0,Canada,12.0,,,,,,,,
23712,Steve Madden,2440000000.0,USA,31.0,,,,,,,,
23713,Laurus Labs,2430000000.0,India,5.0,,,,,,,,
23714,Darktrace,2430000000.0,UK,3.0,,,,,,,,
23715,Mr Price Group,2430000000.0,South Africa,10.0,,,,,,,,
23716,Mandarin Oriental,2420000000.0,Hong Kong,2.0,,,,,,,,
23717,Covivio Hotels,2420000000.0,France,16.0,,,,,,,,
23718,Independent Bank Group,2420000000.0,USA,59.0,,,,,,,,
23719,NetLink Trust,2410000000.0,Singapore,1.0,,,,,,,,
23720,Kemira,2410000000.0,Finland,16.0,,,,,,,,
23721,Alpha Metallurgical Resources,2410000000.0,USA,152.0,,,,,,,,
23722,First Financial Bank,2410000000.0,USA,25.0,,,,,,,,
23723,Britvic,2410000000.0,UK,9.0,,,,,,,,
23724,Matson,2410000000.0,USA,64.0,,,,,,,,
23725,ALSO Holding,2410000000.0,Switzerland,188.0,,,,,,,,
23726,Holly Energy Partners,2410000000.0,USA,19.0,,,,,,,,
23727,Canadian Solar,2410000000.0,Canada,36.0,,,,,,,,
23728,Tronox,2410000000.0,USA,16.0,,,,,,,,
23729,Ebro Foods,2400000000.0,Spain,16.0,,,,,,,,
23730,Itron,2400000000.0,USA,53.0,,,,,,,,
23731,Braze,2400000000.0,USA,25.0,,,,,,,,
23732,Genus,2400000000.0,UK,37.0,,,,,,,,
23733,Gestamp Automoción,2390000000.0,Spain,4.0,,,,,,,,
23734,Perficient,2390000000.0,USA,69.0,,,,,,,,
23735,Buckle,2390000000.0,USA,48.0,,,,,,,,
23736,Sage Therapeutics,2390000000.0,USA,40.0,,,,,,,,
23737,United Industrial Corporation,2390000000.0,Singapore,2.0,,,,,,,,
23738,Kingnet Network,2390000000.0,China,1.0,,,,,,,,
23739,Beach Energy,2390000000.0,Australia,1.0,,,,,,,,
23740,Stepan Company,2390000000.0,USA,108.0,,,,,,,,
23741,Xenon Pharmaceuticals,2390000000.0,Canada,38.0,,,,,,,,
23742,First Majestic Silver,2380000000.0,Canada,9.0,,,,,,,,
23743,Hatsun Agro Products,2380000000.0,India,11.0,,,,,,,,
23744,Sotera Health,2380000000.0,USA,8.0,,,,,,,,
23745,Endurance Technologies,2380000000.0,India,17.0,,,,,,,,
23746,Champion REIT,2380000000.0,Hong Kong,0.0,,,,,,,,
23747,Kontoor Brands,2380000000.0,USA,43.0,,,,,,,,
23748,St. Joe Company,2380000000.0,USA,41.0,,,,,,,,
23749,Leslie's,2380000000.0,USA,13.0,,,,,,,,
23750,Brady,2380000000.0,USA,48.0,,,,,,,,
23751,KPIT Technologies,2380000000.0,India,9.0,,,,,,,,
23752,Elekta AB,2370000000.0,Sweden,6.0,,,,,,,,
23753,Verint Systems,2370000000.0,USA,36.0,,,,,,,,
23754,SATS,2370000000.0,Singapore,2.0,,,,,,,,
23755,Hayward,2370000000.0,USA,11.0,,,,,,,,
23756,Harmony Gold,2360000000.0,South Africa,4.0,,,,,,,,
23757,Arbor Realty Trust,2360000000.0,USA,14.0,,,,,,,,
23758,CBIZ,2360000000.0,USA,47.0,,,,,,,,
23759,LGI Homes,2360000000.0,USA,101.0,,,,,,,,
23760,SMA Solar Technology,2360000000.0,Germany,68.0,,,,,,,,
23761,Jetblue Airways,2350000000.0,USA,7.0,,,,,,,,
23762,Giant Network Group,2350000000.0,China,1.0,,,,,,,,
23763,Kindred Group,2350000000.0,Malta,11.0,,,,,,,,
23764,Osisko Gold Royalties,2350000000.0,Canada,13.0,,,,,,,,
23765,Acer,2350000000.0,Taiwan,1.0,,,,,,,,
23766,Multiplan Empreendimentos Imobiliários,2350000000.0,Brazil,4.0,,,,,,,,
23767,John Wiley & Sons,2350000000.0,USA,42.0,,,,,,,,
23768,Mallplaza,2350000000.0,Chile,1.0,,,,,,,,
23769,CASIO,2350000000.0,Japan,10.0,,,,,,,,
23770,National Health Investors,2350000000.0,USA,54.0,,,,,,,,
23771,Compagnie Plastic Omnium,2350000000.0,France,16.0,,,,,,,,
23772,E-L Financial,2340000000.0,Canada,661.0,,,,,,,,
23773,Urban Outfitters,2340000000.0,USA,25.0,,,,,,,,
23774,Fannie Mae,2340000000.0,USA,3.0,,,,,,,,
23775,United Natural Foods,2340000000.0,USA,39.0,,,,,,,,
23776,Uniqa Insurance Group,2340000000.0,Austria,8.0,,,,,,,,
23777,Olink Holding,2340000000.0,Sweden,20.0,,,,,,,,
23778,Maple Leaf Foods,2340000000.0,Canada,19.0,,,,,,,,
23779,DigitalOcean,2340000000.0,USA,24.0,,,,,,,,
23780,Permata Bank,2340000000.0,Indonesia,0.0,,,,,,,,
23781,Fletcher Building,2330000000.0,New Zealand,3.0,,,,,,,,
23782,Axos Financial,2330000000.0,USA,39.0,,,,,,,,
23783,Omnicell,2330000000.0,USA,52.0,,,,,,,,
23784,KWS,2330000000.0,Germany,70.0,,,,,,,,
23785,Cedar Fair,2330000000.0,USA,43.0,,,,,,,,
23786,Golar LNG,2330000000.0,Bermuda,22.0,,,,,,,,
23787,EnPro Industries,2320000000.0,USA,112.0,,,,,,,,
23788,Weber,2320000000.0,USA,8.0,,,,,,,,
23789,Columbia Bank,2320000000.0,USA,30.0,,,,,,,,
23790,NETSCOUT,2320000000.0,USA,32.0,,,,,,,,
23791,Park National Corp,2310000000.0,USA,143.0,,,,,,,,
23792,Gentherm,2310000000.0,USA,70.0,,,,,,,,
23793,Millicom,2310000000.0,Luxembourg,14.0,,,,,,,,
23794,Jinko Solar,2310000000.0,China,46.0,,,,,,,,
23795,Hays plc,2310000000.0,UK,1.0,,,,,,,,
23796,Weis Markets,2310000000.0,USA,86.0,,,,,,,,
23797,Kainos Group,2300000000.0,UK,19.0,,,,,,,,
23798,Piramal Enterprises,2300000000.0,India,10.0,,,,,,,,
23799,Whirlpool India,2300000000.0,India,18.0,,,,,,,,
23800,ESCO Technologies,2300000000.0,USA,89.0,,,,,,,,
23801,Navient,2300000000.0,USA,17.0,,,,,,,,
23802,AEON REIT Investment,2300000000.0,Japan,1127.0,,,,,,,,
23803,Österreichische Post,2300000000.0,Austria,34.0,,,,,,,,
23804,SSP Group,2290000000.0,UK,3.0,,,,,,,,
